#Country	AC	FC	WFC
USA	24721	17368.85	15346.56
China	9560	6746.30	6341.90
Germany	8687	4261.39	3682.40
UK	8039	3760.74	3099.97
Japan	4547	2893.12	2625.38
France	5213	2253.01	1855.27
Canada	3007	1400.68	1242.35
Switzerland	2903	1168.71	1060.97
Spain	3155	1279.26	1018.58
SouthKorea	1890	1082.70	988.60
Italy	3187	1250.54	893.58
Australia	2661	1067.37	861.93
India	1521	971.01	824.71
Netherlands	2605	916.46	748.81
Sweden	1666	540.63	466.49
Israel	1094	542.14	465.84
Singapore	809	420.44	420.24
Russia	1390	464.10	372.18
Belgium	1137	403.85	339.71
Taiwan	924	377.34	328.69
Denmark	1143	355.18	309.06
Austria	983	323.89	283.53
Brazil	1022	323.81	241.99
Poland	1006	287.93	201.32
Finland	694	194.09	157.02
CzechRepublic	573	186.50	143.99
Norway	543	142.89	126.71
Portugal	532	132.40	110.18
NewZealand	383	117.93	105.80
Ireland	481	117.65	101.18
SaudiArabia	410	102.18	98.64
Argentina	394	147.51	95.62
Iran	253	114.69	94.15
Chile	1083	214.07	91.52
Mexico	542	145.97	82.32
Hungary	383	97.61	70.40
Greece	433	101.59	67.07
SouthAfrica	605	110.77	58.05
Turkey	330	67.09	55.58
Slovenia	188	33.78	32.15
Pakistan	142	32.13	29.58
Ukraine	250	39.96	26.03
Romania	230	23.48	22.60
Thailand	169	26.73	22.29
Estonia	162	27.51	21.34
Colombia	227	24.31	19.19
Iceland	96	19.16	18.27
Croatia	174	21.54	18.07
Luxembourg	43	16.22	16.22
Panama	46	14.02	13.92
UnitedArabEmirates	92	22.09	12.60
Cyprus	78	12.88	11.88
Slovakia	143	18.46	10.96
Bulgaria	132	14.42	9.99
Serbia	163	17.12	9.46
Qatar	82	11.37	9.11
Lithuania	94	13.26	8.88
Malaysia	100	8.82	8.66
Egypt	122	10.43	8.60
Vietnam	55	11.58	7.85
Armenia	153	9.83	7.36
Indonesia	38	8.25	6.79
Morocco	86	6.83	5.95
Uruguay	16	6.37	5.57
Ecuador	48	5.40	5.20
Peru	46	5.17	4.97
Kazakhstan	21	7.37	4.88
Kenya	29	4.23	4.23
Lebanon	23	5.58	3.56
Algeria	25	3.99	3.01
Belarus	118	3	2.89
Macedonia	7	3.82	2.88
Moldova	19	2.78	2.78
Tunisia	18	2.96	2.54
Latvia	33	3.85	2.43
Nepal	12	2.34	2.34
Oman	6	2.30	2.30
Venezuela	25	4.39	2.21
Malta	8	2.83	1.87
Uzbekistan	10	2.48	1.83
Bangladesh	8	1.74	1.74
Jamaica	8	1.71	1.71
CostaRica	13	3.03	1.70
Georgia	138	4.45	1.56
BosniaHerzegovina	8	1.49	1.49
Benin	5	1.38	1.38
Nigeria	20	2.33	1.25
Kuwait	12	1.49	1.20
Monaco	6	1.18	1.18
Ethiopia	12	1.35	1.18
Madagascar	8	1.17	1.17
Cuba	22	1.14	1.14
Uganda	11	1.04	1.04
